,,,"5350011.00 [Census tract], Ontario",,,,,,"Toronto [Census metropolitan area], Ontario",,,,,
Language used most often at work,          Lao,,0,,0,,0,,10,,0,,10,
Language used most often at work,          Thai,,0,,0,,0,,65,,30,,30,
Language used most often at work,          Tai-Kadai languages; n.i.e,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Turkic languages,,0,,0,,0,,415,,285,,130,
Language used most often at work,          Azerbaijani,,0,,0,,0,,10,,10,,0,
Language used most often at work,          Turkish,,0,,0,,0,,400,,270,,130,
Language used most often at work,          Uyghur,,0,,0,,0,,0,,10,,0,
Language used most often at work,          Uzbek,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Turkic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Uralic languages,,0,,0,,0,,305,,140,,165,
Language used most often at work,          Estonian,,0,,0,,0,,50,,15,,35,
Language used most often at work,          Finnish,,0,,0,,0,,45,,10,,35,
Language used most often at work,          Hungarian,,0,,0,,0,,220,,125,,95,
Language used most often at work,          Uralic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Other languages; n.i.e.,,0,,0,,0,,0,,0,,10,
Language used most often at work,  Multiple responses,,190,,90,,100,,80805,,38835,,41970,
Language used most often at work,    English and French,,100,,55,,45,,16405,,6285,,10115,
Language used most often at work,    English and non-official language,,80,,35,,45,,63155,,31990,,31165,
Language used most often at work,    French and non-official language,,0,,0,,0,,85,,45,,40,
Language used most often at work,    English; French and non-official language,,10,,10,,10,,1160,,510,,645,
Other language used regularly at work,Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,179,15425,,8070,,7355,,3404200,,1747780,,1656420,
Other language used regularly at work,  None,,14400,,7575,,6825,,3137830,,1614155,,1523680,
Other language used regularly at work,  English,,85,,25,,55,,44560,,21510,,23050,
Other language used regularly at work,  French,,535,,250,,290,,47885,,20415,,27475,
Other language used regularly at work,  Non-official language,,365,,205,,165,,169430,,89575,,79855,
Other language used regularly at work,    Aboriginal,,0,,0,,0,,155,,50,,105,
Other language used regularly at work,    Non-Aboriginal,,365,,205,,160,,169270,,89525,,79750,
Other language used regularly at work,  English and French,,0,,0,,0,,85,,45,,45,
Other language used regularly at work,  English and non-official language,,0,,0,,0,,1225,,585,,640,
Other language used regularly at work,  French and non-official language,,40,,15,,25,,3160,,1480,,1675,
Other language used regularly at work,  English; French and non-official language,,0,,0,,0,,25,,20,,0,
Mobility status - Place of residence 1 year ago,Total - Mobility status 1 year ago - 25% sample data,180,17260,,8890,,8370,,5802555,,2819345,,2983215,
Mobility status - Place of residence 1 year ago,  Non-movers,,10510,,5410,,5100,,5070300,,2459065,,2611235,
Mobility status - Place of residence 1 year ago,  Movers,,6750,,3480,,3270,,732260,,360275,,371980,
Mobility status - Place of residence 1 year ago,    Non-migrants,,4085,,2095,,1990,,433235,,212190,,221040,
Mobility status - Place of residence 1 year ago,    Migrants,,2665,,1390,,1280,,299025,,148080,,150940,
Mobility status - Place of residence 1 year ago,      Internal migrants,,1880,,995,,885,,194570,,96145,,98430,
Mobility status - Place of residence 1 year ago,        Intraprovincial migrants,,1285,,660,,625,,168510,,83115,,85395,
Mobility status - Place of residence 1 year ago,        Interprovincial migrants,,590,,330,,260,,26065,,13030,,13030,
Mobility status - Place of residence 1 year ago,      External migrants,,790,,395,,390,,104455,,51940,,52515,
Mobility status - Place of residence 5 years ago,Total - Mobility status 5 years ago - 25% sample data,181,17080,,8770,,8310,,5553650,,2691730,,2861915,
Mobility status - Place of residence 5 years ago,  Non-movers,,3035,,1510,,1525,,3411530,,1646850,,1764680,
Mobility status - Place of residence 5 years ago,  Movers,,14040,,7255,,6785,,2142120,,1044880,,1097235,
Mobility status - Place of residence 5 years ago,    Non-migrants,,6575,,3485,,3085,,1174140,,570770,,603370,
Mobility status - Place of residence 5 years ago,    Migrants,,7465,,3765,,3695,,967975,,474110,,493860,
Mobility status - Place of residence 5 years ago,      Internal migrants,,5260,,2620,,2640,,577355,,282680,,294680,
Mobility status - Place of residence 5 years ago,        Intraprovincial migrants,,3745,,1850,,1890,,510305,,250225,,260080,
Mobility status - Place of residence 5 years ago,        Interprovincial migrants,,1520,,770,,750,,67050,,32450,,34600,
Mobility status - Place of residence 5 years ago,      External migrants,,2205,,1145,,1060,,390620,,191435,,199185,
,,,,,,,,,,,,,,
Symbols:,,,,,,,,,,,,,,
...,not applicable,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1, 2016 and 2011 population,,,,,,,,,,,,,
,Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment  some population counts of geographic areas are adjusted in order to ensure confidentiality.,,,,,,,,,,,,,
,The adjustment to counts of the total population for any dissemination block is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions.,,,,,,,,,,,,,
2, Total private dwellings,,,,,,,,,,,,,
,'Private dwelling' refers to a separate set of living quarters with a private entrance either from outside the building or from a common hall  lobby  vestibule or stairway inside the building. The entrance to the dwelling must be one that can be used without passing through the living quarters of some other person or group of persons.,,,,,,,,,,,,,
,For more information  refer to the Census Dictionary: Private dwelling.,,,,,,,,,,,,,
3, Private dwellings occupied by usual residents,,,,,,,,,,,,,
,'Private dwelling occupied by usual residents' refers to a private dwelling in which a person or a group of persons is permanently residing. Also included are private dwellings whose usual residents are temporarily absent on May 10  2016.,,,,,,,,,,,,,
4, Total - Age groups and average age of the population - 100% data,,,,,,,,,,,,,
,For data on the population by single years of age  refer to the table titled 'Age (in single years) and average age' in the census data tables.,,,,,,,,,,,,,
5, Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,,,,,,,,
,'Structural type' refers to the structural characteristics and/or dwelling configuration  that is  whether the dwelling is a single-detached house  an apartment in a high-rise building  a row house  a mobile home  etc.,,,,,,,,,,,,,
6, Other attached dwelling,,,,,,,,,,,,,
,The category 'Other attached-dwelling' is a subtotal of the following categories: semi-detached house  row house  apartment or flat in a duplex  apartment in a building that has fewer than five storeys and other single-attached house.,,,,,,,,,,,,,
7, Movable dwelling,,,,,,,,,,,,,
,The category 'Movable dwelling' includes mobile homes and other movable dwellings such as houseboats  recreational vehicles and railroad cars.,,,,,,,,,,,,,
8, Total - Private households by household size - 100% data,,,,,,,,,,,,,
,Household size refers to the number of persons in a private household.,,,,,,,,,,,,,
9, Total - Population aged 15 years and over by marital status - 100% data,,,,,,,,,,,,,
,For more information  refer to the Census Dictionary: Marital status.,,,,,,,,,,,,,
10, Total - Census families in private households by family size - 100% data,,,,,,,,,,,,,
,Census family is defined as a married couple (with or without children of either and/or both spouses)  a common-law couple (with or without children of either and/or both partners) or a lone parent of any marital status  with at least one child living in the same dwelling. For more information  refer to the Census Dictionary: Census family structure.,,,,,,,,,,,,,
11, Total number of census families in private households - 100% data,,,,,,,,,,,,,
,'Census family structure' refers to the combination of relatives that comprise a census family. Classification on this variable considers the presence or absence of: married spouses or common-law partners and children.,,,,,,,,,,,,,
12, Total - Private households by household type - 100% data,,,,,,,,,,,,,
,For more information  refer to the Census Dictionary: Household type.,,,,,,,,,,,,,
13, One-census-family households - Without children in a census family,,,,,,,,,,,,,
,The household includes a single couple (without children). Other persons related or unrelated to the couple may also be present.,,,,,,,,,,,,,
14, One-census-family households - With children in a census family,,,,,,,,,,,,,
,The household includes either a couple with children or a lone parent and his or her children. Other persons related or unrelated to the census family may also be present.,,,,,,,,,,,,,
15, Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,Knowledge of official languages refers to whether the person can conduct a conversation in English only  French only  in both languages or in neither language. For a child who has not yet learned to speak  this includes languages that the child is learning to speak at home.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
16, Total - First official language spoken for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,First official language spoken is specified within the framework of the Official Languages Act. It refers to the first official language (i.e.  English or French) spoken by the person.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
17, Official language minority,,,,,,,,,,,,,
,The official language minority population of Quebec includes all individuals with English as a first official language spoken and half of those with both English and French. The official language minority population of the country overall and of every province and territory other than Quebec includes individuals with French as a first official language spoken and half of those with both English and French.,,,,,,,,,,,,,
18, Total - Mother tongue for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,Mother tongue refers to the first language learned at home in childhood and still understood by the person at the time the data was collected. If the person no longer understands the first language learned  the mother tongue is the second language learned. For a person who learned two languages at the same time in early childhood  the mother tongue is the language this person spoke most often at home before starting school. The person has two mother tongues only if the two languages were used equally often and are still understood by the person. For a child who has not yet learned to speak  the mother tongue is the language spoken most often to this child at home. The child has two mother tongues only if both languages are spoken equally often so that the child learns both languages at the same time.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
,n.i.e. = not included elsewhere,,,,,,,,,,,,,
,n.o.s. = not otherwise specified,,,,,,,,,,,,,
19, Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,Language spoken most often at home refers to the language the person speaks most often at home at the time of data collection. A person can report more than one language as 'spoken most often at home' if the languages are spoken equally often.,,,,,,,,,,,,,
